POAexemptCode,Description
S82.125G,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with delayed healing"
S82.125H,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.125J,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.125K,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with nonunion"
S82.125M,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.125N,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.125P,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for closed fracture with malunion"
S82.125Q,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type I or II with malunion"
S82.125R,"Nondisplaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.125S,"Nondisplaced fracture of lateral condyle of left tibia, sequela"
S82.126D,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with routine healing"
S82.126E,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.126F,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.126G,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
S82.126H,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.126J,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.126K,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with nonunion"
S82.126M,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.126N,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.126P,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for closed fracture with malunion"
S82.126Q,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
S82.126R,"Nondisplaced fracture of lateral condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.126S,"Nondisplaced fracture of lateral condyle of unspecified tibia, sequela"
S82.131D,"Displaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with routine healing"
S82.131E,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.131F,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.131G,"Displaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with delayed healing"
S82.131H,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.131J,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.131K,"Displaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with nonunion"
S82.131M,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.131N,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.131P,"Displaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with malunion"
S82.131Q,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with malunion"
S82.131R,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.131S,"Displaced fracture of medial condyle of right tibia, sequela"
S82.132D,"Displaced fracture of medial condyle of left tibia, subsequent encounter for closed fracture with routine healing"
S82.132E,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.132F,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.132G,"Displaced fracture of medial condyle of left tibia, subsequent encounter for closed fracture with delayed healing"
S82.132H,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.132J,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.132K,"Displaced fracture of medial condyle of left tibia, subsequent encounter for closed fracture with nonunion"
S82.132M,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.132N,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.132P,"Displaced fracture of medial condyle of left tibia, subsequent encounter for closed fracture with malunion"
S82.132Q,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type I or II with malunion"
S82.132R,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.132S,"Displaced fracture of medial condyle of left tibia, sequela"
S82.133D,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for closed fracture with routine healing"
S82.133E,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.133F,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.133G,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
S82.133H,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.133J,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.133K,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for closed fracture with nonunion"
S82.133M,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.133N,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.133P,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for closed fracture with malunion"
S82.133Q,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
S82.133R,"Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S82.133S,"Displaced fracture of medial condyle of unspecified tibia, sequela"
S82.134D,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with routine healing"
S82.134E,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with routine healing"
S82.134F,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82.134G,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with delayed healing"
S82.134H,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
S82.134J,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S82.134K,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with nonunion"
S82.134M,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with nonunion"
S82.134N,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S82.134P,"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for closed fracture with malunion"
